post_id,post_date,is_published,email_sent_at,inbox_sent_at,type,audience,title,subtitle,podcast_url
184814303.databricks-lakeflow-vs-apache-airflow,,false,,,newsletter,everyone,,,
184798522.lance-for-embeddings-vector-database,,false,,,newsletter,only_paid,,,
184468828.building-the-full-data-stack-and,,false,,,podcast,everyone,,,
184378371.from-wiring-circuits-to-data-pipelines,,false,,,podcast,everyone,,,
184371353.from-dba-to-data-everything,2026-01-14T12:51:03.796Z,true,2026-01-14T12:51:04.023Z,2026-01-14T12:51:04.023Z,podcast,everyone,From DBA to Data Everything,Lessons From a Career in Data,
184355506.why-declarative-pipelines-are-the,,false,,,newsletter,only_paid,,,
183951914.pg_duckdb-screaming-olap-for-postgres,,false,,,newsletter,only_paid,,,
183868570.data-skew-for-dummies,,false,,,newsletter,only_paid,,,
183448606.lakebase-nextgen-postgres,,false,,,newsletter,only_paid,,,
183177983.apache-flink-for-dummies,2026-01-12T13:49:27.399Z,true,2026-01-12T13:49:27.590Z,2026-01-12T13:49:27.590Z,newsletter,only_paid,Apache Flink for Dummies,... like me,
183096607.apache-arrow-for-the-database,2026-01-16T15:50:52.979Z,true,2026-01-16T15:50:53.128Z,2026-01-16T15:50:53.128Z,newsletter,everyone,Apache Arrow for the Database,ADBC Drivers,
183019286.cloudflare-r2-sql-on-iceberg,,false,,,newsletter,only_paid,,,
182889224.data-engineering-central-podcast-f35,2026-01-02T13:03:33.782Z,true,2026-01-02T13:03:33.950Z,2026-01-02T13:03:33.950Z,podcast,only_paid,Data Engineering Central Podcast - 10,... back again,
182823689.spark-structured-streaming-for-dummies,,false,,,newsletter,only_paid,,,
182670018.data-engineering-blogs-to-follow,,false,,,newsletter,everyone,,,
182652646.polars-has-a-problem,,false,,,newsletter,only_paid,,,
182652308.databricksspark-excel-data-source,2026-01-05T14:02:47.674Z,true,2026-01-05T14:02:47.860Z,2026-01-05T14:02:47.860Z,newsletter,everyone,Databricks/Spark Excel Data Source,... do I really have to say it?,
182238422.1tb-of-parquets-single-node-benchmark,2025-12-28T21:55:49.719Z,true,2025-12-28T21:55:50.079Z,2025-12-28T21:55:50.079Z,newsletter,everyone,1TB of Parquet files. Single Node Benchmark. (DuckDB style),Haters gonna hate.,
181799647.history-tracking-from-scd2-to-bespoke,,false,,,newsletter,only_paid,,,
181798873.lizard-brain-data-engineering,,false,,,newsletter,only_paid,,,
181440235.what-is-lake-house-architecture,,false,,,newsletter,only_paid,,,
181440053.the-rise-of-the-data-catalog,,false,,,newsletter,only_paid,,,
181439991.building-agentic-ai-with-databricks,,false,,,newsletter,only_paid,,,
181261013.scott-haines-on-the-future-of-data,2025-12-17T13:44:29.054Z,true,2025-12-17T13:44:29.222Z,2025-12-17T13:44:29.222Z,podcast,everyone,Scott Haines on the Future of Data Engineering,"OSS, Lakehouses & Real-World War Stories",
180926701.llms-for-pdf-data-pipelines,2025-12-09T15:16:21.810Z,true,2025-12-09T15:16:22.037Z,2025-12-09T15:16:22.037Z,newsletter,everyone,LLMs for {PDF} Data Pipelines,a Brave New World,
